ts_code,sub_code,name,ipo_date,issue_date,amount,market_amount,price,pe,limit_amount,funds,ballot
002212.SZ,2212,南洋股份,20080122,20080201.0,3800.0,3040.0,15.12,26.41,3040.0,5.7456,0.05
002213.SZ,2213,特尔佳,20080122,20080201.0,2600.0,2080.0,4.7,29.94,2080.0,1.222,0.04
002209.SZ,2209,达意隆,20080121,20080130.0,2900.0,2320.0,4.24,29.95,2320.0,1.2296,0.07
002210.SZ,2210,飞马国际,20080121,20080130.0,3500.0,2800.0,7.79,29.96,2800.0,2.7265,0.1
002207.SZ,2207,准油股份,20080117,20080128.0,2500.0,2000.0,7.85,29.96,2000.0,1.9625,0.03
002208.SZ,2208,合肥城建,20080117,20080128.0,2670.0,2136.0,15.6,26.55,2136.0,4.1652,0.04
002206.SZ,2206,海利得,20080110,20080123.0,3200.0,2560.0,14.69,29.98,2560.0,4.7008,0.04
002205.SZ,2205,国统股份,20080109,20080123.0,2000.0,1600.0,7.69,43.87,1600.0,1.538,0.02
002203.SZ,2203,海亮股份,20080103,20080116.0,5500.0,4400.0,11.17,29.99,4400.0,6.1435,0.05
002204.SZ,2204,华锐铸钢,20080103,20080116.0,5400.0,4320.0,10.78,29.97,4320.0,5.8212,0.07
