exchange,cal_date,is_open,pretrade_date
SSE,20230307,1,20230306
SSE,20230308,1,20230307
SSE,20230309,1,20230308
SSE,20230310,1,20230309
SSE,20230311,0,20230310
SSE,20230312,0,20230310
SSE,20230313,1,20230310
SSE,20230314,1,20230313
SSE,20230315,1,20230314
SSE,20230316,1,20230315
SSE,20230317,1,20230316
SSE,20230318,0,20230317
SSE,20230319,0,20230317
SSE,20230320,1,20230317
SSE,20230321,1,20230320
SSE,20230322,1,20230321
SSE,20230323,1,20230322
SSE,20230324,1,20230323
SSE,20230325,0,20230324
SSE,20230326,0,20230324
SSE,20230327,1,20230324
SSE,20230328,1,20230327
SSE,20230329,1,20230328
SSE,20230330,1,20230329
SSE,20230331,1,20230330
SSE,20230401,0,20230331
SSE,20230402,0,20230331
SSE,20230403,1,20230331
SSE,20230404,1,20230403
SSE,20230405,0,20230404
