SemiYear,Date,Cash,UnitVal,TRet,PRet,PSharpe,PMaxDD,PCalmar,PWinR,TMaxDD,TSharpe,TCalmar,TWinR,TAnnRet
2015-H1,2015-06-30,20188182.9,1.009,0.009,0.009,0.427,-0.022,0.436,0.513,-0.052,1.127,21.578,0.518,0.036
2015-H2,2015-12-31,20347205.9,1.017,0.017,0.008,0.292,-0.048,0.165,0.536,-0.052,1.127,21.578,0.518,0.036
2016-H1,2016-06-30,20698362.9,1.035,0.035,0.017,1.107,-0.013,1.284,0.483,-0.052,1.127,21.578,0.518,0.036
2016-H2,2016-12-30,21422576.7,1.071,0.071,0.035,2.763,-0.013,2.748,0.556,-0.052,1.127,21.578,0.518,0.036
2017-H1,2017-06-30,22723650.4,1.136,0.136,0.061,4.597,-0.007,9.016,0.63,-0.052,1.127,21.578,0.518,0.036
2017-H2,2017-12-29,23692058.4,1.185,0.185,0.043,2.723,-0.014,3.141,0.568,-0.052,1.127,21.578,0.518,0.036
2018-H1,2018-06-29,24440817.1,1.222,0.222,0.032,2.382,-0.023,1.404,0.538,-0.052,1.127,21.578,0.518,0.036
2018-H2,2018-12-28,24474517.6,1.224,0.224,0.001,0.115,-0.021,0.065,0.468,-0.052,1.127,21.578,0.518,0.036
2019-H1,2019-06-28,24927523.3,1.246,0.246,0.019,1.416,-0.016,1.191,0.517,-0.052,1.127,21.578,0.518,0.036
2019-H2,2019-12-31,24765840.5,1.238,0.238,-0.006,-0.506,-0.044,-0.149,0.444,-0.052,1.127,21.578,0.518,0.036
2020-H1,2020-06-30,24864926.1,1.243,0.243,0.004,0.275,-0.025,0.161,0.47,-0.052,1.127,21.578,0.518,0.036
2020-H2,2020-12-31,24582207.1,1.229,0.229,-0.011,-0.773,-0.032,-0.36,0.5,-0.052,1.127,21.578,0.518,0.036
2021-H1,2021-06-30,26188595.1,1.309,0.309,0.065,4.257,-0.042,1.554,0.576,-0.052,1.127,21.578,0.518,0.036
2021-H2,2021-12-31,26520599.7,1.326,0.326,0.013,0.81,-0.026,0.486,0.496,-0.052,1.127,21.578,0.518,0.036
2022-H1,2022-06-30,26155171.4,1.308,0.308,-0.014,-1.089,-0.043,-0.32,0.513,-0.052,1.127,21.578,0.518,0.036
2022-H2,2022-12-30,26498629.5,1.325,0.325,0.013,0.926,-0.052,0.252,0.488,-0.052,1.127,21.578,0.518,0.036
