DP,观测数,C2C_均值,C2C_中位数,C2C_t值,C2O_均值,C2O_中位数,C2O_t值
0,4952320,-0.009%,-0.205%,-8.23,0.029%,0.008%,62.7
1,3649792,0.023%,-0.182%,19.55,0.039%,0.009%,73.27
2,3604352,0.026%,-0.198%,21.61,0.033%,0.005%,62.02
3,3631104,0.002%,-0.207%,1.7,0.039%,0.005%,71.26
4,3538304,-0.001%,-0.195%,-0.99,0.019%,-0.002%,35.66
5,4036992,-0.002%,-0.189%,-1.42,0.022%,0.002%,44.08
6,3600256,-0.002%,-0.195%,-1.81,0.029%,0.009%,55.86
7,3540032,0.005%,-0.189%,4.47,0.030%,0.005%,55.42
8,3944448,-0.005%,-0.195%,-4.67,0.018%,0.002%,35.07
9,3908224,0.001%,-0.196%,1.08,0.029%,0.007%,56.18
