,CSI300,CSI300,CSI500,CSI500,CSI800,CSI800,CSI1000,CSI1000
,出现次数,频率,出现次数,频率,出现次数,频率,出现次数,频率
DP,,,,,,,,
0,110336,15.1%,154912,12.7%,265248,13.6%,322284,13.3%
1,67056,9.2%,114158,9.4%,181214,9.3%,225170,9.3%
2,65884,9.0%,112724,9.3%,178608,9.2%,223550,9.2%
3,64392,8.8%,113622,9.4%,178014,9.2%,224836,9.3%
4,62588,8.6%,110704,9.1%,173292,8.9%,216682,8.9%
5,77042,10.6%,126268,10.4%,203310,10.5%,252540,10.4%
6,64510,8.8%,112666,9.3%,177176,9.1%,224664,9.2%
7,63986,8.8%,110744,9.1%,174730,9.0%,219350,9.0%
8,73568,10.1%,123376,10.2%,196944,10.1%,249162,10.3%
9,73518,10.1%,122210,10.1%,195728,10.1%,243114,10.0%
缺失,6120,0.8%,13616,1.1%,19736,1.0%,28648,1.2%
总计,729000,100.0%,1215000,100.0%,1944000,100.0%,2430000,100.0%
