exchange,cal_date,is_open,pretrade_date
SSE,20150101,0,20141231
SSE,20150102,0,20141231
SSE,20150103,0,20141231
SSE,20150104,0,20141231
SSE,20150105,1,20141231
SSE,20150106,1,20150105
SSE,20150107,1,20150106
SSE,20150108,1,20150107
SSE,20150109,1,20150108
SSE,20150110,0,20150109
SSE,20150111,0,20150109
SSE,20150112,1,20150109
SSE,20150113,1,20150112
SSE,20150114,1,20150113
SSE,20150115,1,20150114
SSE,20150116,1,20150115
SSE,20150117,0,20150116
SSE,20150118,0,20150116
SSE,20150119,1,20150116
SSE,20150120,1,20150119
SSE,20150121,1,20150120
SSE,20150122,1,20150121
SSE,20150123,1,20150122
SSE,20150124,0,20150123
SSE,20150125,0,20150123
SSE,20150126,1,20150123
SSE,20150127,1,20150126
SSE,20150128,1,20150127
SSE,20150129,1,20150128
SSE,20150130,1,20150129
SSE,20150131,0,20150130
SSE,20150201,0,20150130
SSE,20150202,1,20150130
SSE,20150203,1,20150202
SSE,20150204,1,20150203
SSE,20150205,1,20150204
SSE,20150206,1,20150205
SSE,20150207,0,20150206
SSE,20150208,0,20150206
SSE,20150209,1,20150206
SSE,20150210,1,20150209
SSE,20150211,1,20150210
SSE,20150212,1,20150211
SSE,20150213,1,20150212
SSE,20150214,0,20150213
SSE,20150215,0,20150213
SSE,20150216,1,20150213
SSE,20150217,1,20150216
SSE,20150218,0,20150217
SSE,20150219,0,20150217
SSE,20150220,0,20150217
SSE,20150221,0,20150217
SSE,20150222,0,20150217
SSE,20150223,0,20150217
SSE,20150224,0,20150217
SSE,20150225,1,20150217
SSE,20150226,1,20150225
SSE,20150227,1,20150226
SSE,20150228,0,20150227
SSE,20150301,0,20150227
SSE,20150302,1,20150227
SSE,20150303,1,20150302
SSE,20150304,1,20150303
SSE,20150305,1,20150304
SSE,20150306,1,20150305
SSE,20150307,0,20150306
SSE,20150308,0,20150306
SSE,20150309,1,20150306
SSE,20150310,1,20150309
SSE,20150311,1,20150310
SSE,20150312,1,20150311
SSE,20150313,1,20150312
SSE,20150314,0,20150313
SSE,20150315,0,20150313
SSE,20150316,1,20150313
SSE,20150317,1,20150316
SSE,20150318,1,20150317
SSE,20150319,1,20150318
SSE,20150320,1,20150319
SSE,20150321,0,20150320
SSE,20150322,0,20150320
SSE,20150323,1,20150320
SSE,20150324,1,20150323
SSE,20150325,1,20150324
SSE,20150326,1,20150325
SSE,20150327,1,20150326
SSE,20150328,0,20150327
SSE,20150329,0,20150327
SSE,20150330,1,20150327
SSE,20150331,1,20150330
SSE,20150401,1,20150331
SSE,20150402,1,20150401
SSE,20150403,1,20150402
SSE,20150404,0,20150403
SSE,20150405,0,20150403
SSE,20150406,0,20150403
SSE,20150407,1,20150403
SSE,20150408,1,20150407
SSE,20150409,1,20150408
SSE,20150410,1,20150409
SSE,20150411,0,20150410
SSE,20150412,0,20150410
SSE,20150413,1,20150410
SSE,20150414,1,20150413
SSE,20150415,1,20150414
SSE,20150416,1,20150415
SSE,20150417,1,20150416
SSE,20150418,0,20150417
SSE,20150419,0,20150417
SSE,20150420,1,20150417
SSE,20150421,1,20150420
SSE,20150422,1,20150421
SSE,20150423,1,20150422
SSE,20150424,1,20150423
SSE,20150425,0,20150424
